mot_cle,langue,intention,service,pays,corridor,importance,difficulte_estimee,page_cible,priorite
commissionnaire de transport Maroc,FR,Commerciale locale,commissionnaire de transport,Maroc,Maroc national,Très élevée,Moyenne,/commissionnaire-transport-maroc.html,P0
commissionnaire de transport Casablanca,FR,Commerciale locale,commissionnaire de transport,Maroc,Casablanca,Très élevée,Moyenne,/commissionnaire-transport-casablanca.html,P0
freight forwarder Morocco,EN,Commerciale internationale,freight forwarding,Morocco,Morocco global,Très élevée,Moyenne,/en/freight-forwarder-morocco.html,P0
freight forwarder Casablanca,EN,Locale internationale,freight forwarding,Morocco,Casablanca,Élevée,Moyenne,/en/freight-forwarder-casablanca.html,P1
transitaire Maroc,FR,Commerciale locale,transit / douane,Maroc,Maroc national,Très élevée,Moyenne à élevée,/transitaire-maroc.html,P0
transitaire Casablanca,FR,Commerciale locale,transit / douane,Maroc,Casablanca,Très élevée,Moyenne,/transitaire-casablanca.html,P0
société de transport international Maroc,FR,Commerciale,transport international,Maroc,Maroc-Europe-Afrique,Très élevée,Moyenne,/transport-international-maroc.html,P0
entreprise de transport Maroc Europe,FR,Commerciale,transport international,"Maroc, Europe",Maroc-Europe,Très élevée,Moyenne,/transport-maroc-europe.html,P0
transport Maroc Europe,FR,Commerciale,transport routier,"Maroc, Europe",Maroc-Europe,Très élevée,Moyenne,/transport-maroc-europe.html,P0
transport Europe Maroc,FR,Commerciale,transport routier,"Europe, Maroc",Europe-Maroc,Très élevée,Moyenne,/transport-europe-maroc.html,P0
transport Maroc Afrique,FR,Commerciale,transport routier,"Maroc, Afrique",Maroc-Afrique,Élevée,Faible à moyenne,/transport-maroc-afrique.html,P1
transport routier international Maroc,FR,Commerciale,transport routier international,Maroc,International,Très élevée,Moyenne,/transport-routier-international-maroc.html,P0
transport frigorifique Maroc,FR,Commerciale service,frigorifique,Maroc,National/international,Très élevée,Moyenne,/transport-frigorifique-maroc.html,P0
transport frigorifique Maroc Europe,FR,Commerciale service+corridor,frigorifique,"Maroc, Europe",Maroc-Europe,Très élevée,Faible à moyenne,/transport-frigorifique-maroc-europe.html,P0 existante
transport sous température dirigée Maroc,FR,Commerciale service,température dirigée,Maroc,National/international,Élevée,Faible à moyenne,/transport-temperature-dirigee-maroc.html,P1
transport bâché Maroc,FR,Commerciale service,transport bâché,Maroc,National/international,Élevée,Faible,/transport-bache-maroc.html,P1
affrètement camion Maroc,FR,Transactionnelle,affrètement,Maroc,Maroc national,Très élevée,Faible à moyenne,/affretement-camion-maroc.html,P0
affréteur transport Maroc,FR,Commerciale,affrètement,Maroc,Maroc national,Élevée,Moyenne,/affreteur-transport-maroc.html,P1
trouver un camion Maroc,FR,Transactionnelle,bourse de fret / affrètement,Maroc,Maroc national,Très élevée,Faible,/trouver-camion-maroc.html,P0
trouver un transporteur Maroc,FR,Transactionnelle,bourse de fret / affrètement,Maroc,Maroc national,Très élevée,Faible à moyenne,/trouver-transporteur-maroc.html,P0
transport poids lourd Maroc,FR,Commerciale,poids lourd,Maroc,National/international,Moyenne,Moyenne,/transport-poids-lourd-maroc.html,P2
